col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0
0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1
0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1
0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
